Run ID,Name,Source Type,Source Name,User,Status,BinaryClassificationEvaluator.labelCol,BinaryClassificationEvaluator.metricName,BinaryClassificationEvaluator.numBins,BinaryClassificationEvaluator.rawPredictionCol,best_GBTClassifier.featureSubsetStrategy,best_GBTClassifier.stepSize,best_GBTClassifier.subsamplingRate,best_GBTClassifier.thresholds,best_RandomForestClassifier.featureSubsetStrategy,best_RandomForestClassifier.impurity,best_RandomForestClassifier.thresholds,bootstrap,cacheNodeIds,checkpointInterval,collectSubModels,estimator,evaluator,featureSubsetStrategy,featuresCol,foldCol,impurity,labelCol,leafCol,lossType,maxBins,maxDepth,maxIter,maxMemoryInMB,minInfoGain,minInstancesPerNode,minWeightFractionPerNode,numFolds,numTrees,parallelism,predictionCol,probabilityCol,rawPredictionCol,seed,stepSize,subsamplingRate,thresholds,validationTol,avg_areaUnderROC,estimator_class,estimator_name,sparkDatasourceInfo
03812cfdd2d3468da04c54921a403787,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,,,,,,,,,,,,True,False,10,,,,all,features,,entropy,label,,,32,5,,256,0.0,1,0.0,,20,,prediction,probability,rawPrediction,100,,1.0,"[0.33, 0.67]",,0.8854243015418406,pyspark.ml.classification.RandomForestClassifier,RandomForestClassifier,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
047fee6811fb435fafb52b67e09fce02,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,,,,,,,,,,,,True,False,10,,,,log2,features,,entropy,label,,,32,5,,256,0.0,1,0.0,,20,,prediction,probability,rawPrediction,100,,1.0,"[0.33, 0.67]",,0.8866459469118624,pyspark.ml.classification.RandomForestClassifier,RandomForestClassifier,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
0ac516b230484cc6a791ec391d7c36a2,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,,,,,,,,,,,,True,False,10,,,,onethird,features,,entropy,label,,,32,5,,256,0.0,1,0.0,,20,,prediction,probability,rawPrediction,100,,1.0,"[0.5, 0.5]",,0.8918902147588929,pyspark.ml.classification.RandomForestClassifier,RandomForestClassifier,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
1f21e3f6e84944c688c0cdc43c2795ac,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,label,areaUnderROC,1000,rawPrediction,,,,,onethird,gini,"[0.33, 0.67]",,,,False,RandomForestClassifier,BinaryClassificationEvaluator,,,,,,,,,,,,,,,3,,2,,,,100,,,,,,pyspark.ml.tuning.CrossValidator,CrossValidator,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
29b8919b6af945d79a73c47daa9ed884,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,,,,,,,,,,,,True,False,10,,,,sqrt,features,,gini,label,,,32,5,,256,0.0,1,0.0,,20,,prediction,probability,rawPrediction,100,,1.0,"[0.5, 0.5]",,0.8816194479978108,pyspark.ml.classification.RandomForestClassifier,RandomForestClassifier,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
30e5182cbf794c288585a9cad6bfb452,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,,,,,,,,,,,,True,False,10,,,,all,features,,gini,label,,,32,5,,256,0.0,1,0.0,,20,,prediction,probability,rawPrediction,100,,1.0,"[0.5, 0.5]",,0.8853317723635589,pyspark.ml.classification.RandomForestClassifier,RandomForestClassifier,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
30fec4b013a044659a5258faa0c066aa,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,,,,,,,,,,,,True,False,10,,,,all,features,,gini,label,,,32,5,,256,0.0,1,0.0,,20,,prediction,probability,rawPrediction,100,,1.0,"[0.33, 0.67]",,0.8853317723635589,pyspark.ml.classification.RandomForestClassifier,RandomForestClassifier,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
36e50c08b50742fda5a0291d27adf437,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,,,,,,,,,,,,True,False,10,,,,log2,features,,gini,label,,,32,5,,256,0.0,1,0.0,,20,,prediction,probability,rawPrediction,100,,1.0,"[0.5, 0.5]",,0.8879526791690916,pyspark.ml.classification.RandomForestClassifier,RandomForestClassifier,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
5e1abd97bf514f94a6d257f2689b2da1,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,,,,,,,,,,,,True,False,10,,,,all,features,,entropy,label,,,32,5,,256,0.0,1,0.0,,20,,prediction,probability,rawPrediction,100,,1.0,"[0.5, 0.5]",,0.8854243015418406,pyspark.ml.classification.RandomForestClassifier,RandomForestClassifier,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
63a260190ee54a37a5fe5a82a113204c,,NOTEBOOK,/Users/michael.chen.0@gmail.com/Mini_Project_Spark_ML,michael.chen.0@gmail.com,FINISHED,,,,,,,,,,,,True,False,10,,,,sqrt,features,,entropy,label,,,32,5,,256,0.0,1,0.0,,20,,prediction,probability,rawPrediction,100,,1.0,"[0.5, 0.5]",,0.8830605442384292,pyspark.ml.classification.RandomForestClassifier,RandomForestClassifier,"path=dbfs:/databricks-datasets/adult/adult.data,format=csv"
