,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time,Unnamed: 0
0,SVC,ternary,LOF+LDA-classLOF,0.6308110690367218,0.31827221747226686,0.5455148116481778,0.609115246368432,0.4849730599188532,0.6591365846680344,293.99223618507386,43.557859897613525,
1,SVC_b,ternary,LOF+LDA-classLOF,0.6308110690367218,0.31827221747226686,0.5455148116481778,0.609115246368432,0.4849730599188532,0.6591365846680344,294.8401038169861,43.24833436012268,
2,RidgeCV,ternary,LOF+LDA-classLOF,0.6112616631125876,0.28818658459075897,0.525457723060506,0.5918906797950114,0.4719793572756116,0.6440012254027041,35.36236786842346,0.14620037078857423,
3,SGD,ternary,LOF+LDA-classLOF,0.610290214983946,0.2998910668187438,0.5332607112124957,0.5945621276775475,0.4850761572238948,0.6498355004112814,14.570483303070068,0.15031371116638184,
4,LinearSVC,ternary,LOF+LDA-classLOF,0.6099553801969946,0.29567966119423195,0.5304531074628213,0.5940559740124727,0.4844225236752349,0.6474235380333878,761.4041077136993,0.15454702377319335,
5,SGD_b,ternary,LOF+LDA-classLOF,0.5956161317453023,0.33692972136202304,0.557953147574682,0.5947291945871427,0.5395182094837857,0.6665413367043573,14.810701274871827,0.15330796241760253,
6,LogRegCV_b,ternary,LOF+LDA-classLOF,0.5740942605214487,0.35306810207919714,0.5687120680527982,0.5803491764889538,0.5637465218671424,0.7524742833752831,453.3056406021118,0.1463839054107666,
7,RidgeCV_b,ternary,LOF+LDA-classLOF,0.5704641748142996,0.3576565454696239,0.5717710303130826,0.5765212789653097,0.5656586564654182,0.6739333860191385,49.083936309814455,0.16004352569580077,
8,GaussianNB,ternary,LOF+LDA-classLOF,0.5072131847595085,0.22607849805465374,0.48405233203643583,0.511080515171358,0.4739432586293309,0.6776208038864409,4.371371412277222,0.9746917724609375,
9,SVC,ternary,untransformed,0.6424272656671616,0.3081945152768132,0.5387963435178754,0.6100173615966537,0.4538968764820602,0.6548875167061103,187.5356032371521,29.332842111587524,0.0
10,RidgeCV_b,ternary,minkowski,0.5701543567562035,0.358644225128404,0.5724294834189361,0.5759863368488993,0.5660455579512336,0.6742644717697768,35.380148839950564,0.5152032852172852,1.0
11,LogRegCV_b,ternary,minkowski,0.5707711976677884,0.3571850271162931,0.5714566847441954,0.577094653074625,0.5659710556320755,0.7583173729151843,471.9259496688843,0.5080092430114747,2.0
12,RidgeCV_b,ternary,untransformed,0.5709171701526498,0.359983034597045,0.5733220230646967,0.5768475220867317,0.5670945453088825,0.6750365789583663,37.90185976028442,0.5277007579803467,3.0
13,LogRegCV_b,ternary,untransformed,0.5725907999188158,0.3595804131609598,0.5730536087739732,0.578942470026859,0.5677272172938556,0.7587476579202554,477.7793507575989,0.5014840602874756,4.0
14,SGD_b,ternary,untransformed,0.5984628928516276,0.3422703019089598,0.5615135346059733,0.5959785835611797,0.5401604158505248,0.6686132706151531,14.681113386154175,0.5104040145874024,5.0
15,SGD_b,ternary,minkowski,0.6024744667660688,0.3392206448671296,0.5594804299114198,0.5984074823946919,0.5353712912667612,0.6674601186978509,14.6564790725708,0.5165966033935547,6.0
16,LinearSVC,ternary,minkowski,0.6121686334310106,0.294728226012227,0.5298188173414847,0.5946167742996236,0.4804603602400387,0.6470401003469399,656.5660559654236,0.52877836227417,7.0
